order_item_id,order_id,product_id,quantity,unit_price,total_price
1,1,34,3,180.8,542.4000000000001
2,1,18,1,76.5,76.5
3,1,21,2,520.83,1041.66
4,1,24,3,644.07,1932.21
5,1,10,3,690.79,2072.37
6,2,48,2,797.92,1595.84
7,3,13,1,487.94,487.94
8,4,10,3,690.79,2072.37
9,5,16,1,525.9,525.9
10,6,21,1,520.83,520.83
11,6,37,2,191.21,382.42
12,6,31,2,532.44,1064.88
13,6,13,3,487.94,1463.82
14,7,26,2,596.28,1192.56
15,7,14,2,124.91,249.82
16,7,40,2,696.5,1393.0
17,7,35,2,919.5,1839.0
18,7,8,3,114.89,344.67
19,8,42,3,195.23,585.6899999999999
20,8,22,2,564.25,1128.5
21,8,12,2,693.53,1387.06
22,9,32,3,394.75,1184.25
23,9,30,3,122.82,368.46
24,9,7,3,967.14,2901.42
25,10,49,3,282.1,846.3000000000001
26,10,17,1,443.78,443.78
27,10,24,2,644.07,1288.14
28,11,35,1,919.5,919.5
29,12,15,2,354.85,709.7
30,13,8,3,114.89,344.67
31,14,9,2,515.57,1031.14
32,14,20,2,680.37,1360.74
33,14,28,3,581.57,1744.71
34,15,33,1,354.45,354.45
35,16,33,1,354.45,354.45
36,16,10,3,690.79,2072.37
37,16,15,1,354.85,354.85
38,16,13,3,487.94,1463.82
39,17,34,3,180.8,542.4000000000001
40,17,50,1,782.93,782.93
41,17,37,3,191.21,573.63
42,18,4,3,641.8,1925.3999999999999
43,18,24,3,644.07,1932.21
44,18,15,3,354.85,1064.5500000000002
45,18,34,1,180.8,180.8
46,18,24,1,644.07,644.07
47,19,44,1,489.76,489.76
48,20,15,3,354.85,1064.5500000000002
49,20,10,3,690.79,2072.37
50,20,40,2,696.5,1393.0
51,20,13,2,487.94,975.88
52,20,4,2,641.8,1283.6
53,21,25,3,740.01,2220.0299999999997
54,21,27,2,213.73,427.46
55,21,30,2,122.82,245.64
56,22,47,2,493.81,987.62
57,22,1,1,511.55,511.55
58,23,46,3,415.04,1245.1200000000001
59,23,43,2,63.08,126.16
60,23,14,3,124.91,374.73
61,24,39,1,389.87,389.87
62,24,4,2,641.8,1283.6
63,24,9,1,515.57,515.57
64,24,31,1,532.44,532.44
65,24,49,1,282.1,282.1
66,25,11,3,397.22,1191.66
67,25,27,2,213.73,427.46
68,25,38,1,394.58,394.58
69,25,16,2,525.9,1051.8
70,26,15,2,354.85,709.7
71,27,26,1,596.28,596.28
72,27,47,3,493.81,1481.43
73,28,44,1,489.76,489.76
74,28,14,2,124.91,249.82
75,28,10,3,690.79,2072.37
76,28,18,2,76.5,153.0
77,28,1,3,511.55,1534.65
78,29,34,2,180.8,361.6
79,30,7,3,967.14,2901.42
80,30,39,2,389.87,779.74
81,30,15,3,354.85,1064.5500000000002
82,30,29,2,195.09,390.18
83,30,8,3,114.89,344.67
84,31,30,1,122.82,122.82
85,31,5,3,661.03,1983.09
86,31,22,2,564.25,1128.5
87,31,3,2,704.62,1409.24
88,31,17,1,443.78,443.78
89,32,28,3,581.57,1744.71
90,32,11,3,397.22,1191.66
91,32,45,2,964.19,1928.38
92,32,49,2,282.1,564.2
93,33,34,1,180.8,180.8
94,33,6,3,53.85,161.55
95,34,39,2,389.87,779.74
96,34,16,3,525.9,1577.6999999999998
97,34,32,3,394.75,1184.25
98,34,28,2,581.57,1163.14
99,34,4,3,641.8,1925.3999999999999
100,35,50,2,782.93,1565.86
101,36,17,3,443.78,1331.34
102,36,33,2,354.45,708.9
103,36,27,3,213.73,641.1899999999999
104,37,23,1,799.78,799.78
105,37,1,1,511.55,511.55
106,37,46,2,415.04,830.08
107,38,38,2,394.58,789.16
108,38,15,3,354.85,1064.5500000000002
109,39,43,2,63.08,126.16
110,39,7,3,967.14,2901.42
111,39,32,3,394.75,1184.25
112,39,39,3,389.87,1169.6100000000001
113,40,39,3,389.87,1169.6100000000001
114,40,43,2,63.08,126.16
115,40,3,3,704.62,2113.86
116,40,7,3,967.14,2901.42
117,41,37,1,191.21,191.21
118,42,49,1,282.1,282.1
119,43,38,3,394.58,1183.74
120,43,46,3,415.04,1245.1200000000001
121,43,27,2,213.73,427.46
122,44,23,3,799.78,2399.34
123,45,30,3,122.82,368.46
124,45,34,1,180.8,180.8
125,45,26,3,596.28,1788.84
126,45,48,2,797.92,1595.84
127,46,14,3,124.91,374.73
128,47,2,3,548.21,1644.63
129,47,22,1,564.25,564.25
130,48,27,1,213.73,213.73
131,48,47,2,493.81,987.62
132,48,17,2,443.78,887.56
133,49,23,1,799.78,799.78
134,49,18,2,76.5,153.0
135,49,4,2,641.8,1283.6
136,50,45,3,964.19,2892.57
137,50,17,1,443.78,443.78
138,50,14,3,124.91,374.73
139,50,50,3,782.93,2348.79
140,51,48,2,797.92,1595.84
141,51,49,2,282.1,564.2
142,51,50,1,782.93,782.93
143,52,6,2,53.85,107.7
144,52,23,3,799.78,2399.34
145,52,35,3,919.5,2758.5
146,52,15,2,354.85,709.7
147,53,7,3,967.14,2901.42
148,53,6,3,53.85,161.55
149,53,26,2,596.28,1192.56
150,54,32,3,394.75,1184.25
151,54,12,2,693.53,1387.06
152,54,13,2,487.94,975.88
153,54,46,2,415.04,830.08
154,54,23,2,799.78,1599.56
155,55,24,1,644.07,644.07
156,55,11,2,397.22,794.44
157,55,2,1,548.21,548.21
158,55,13,3,487.94,1463.82
159,56,33,3,354.45,1063.35
160,56,42,3,195.23,585.6899999999999
161,56,19,3,32.36,97.08
162,57,12,2,693.53,1387.06
163,57,40,3,696.5,2089.5
164,57,5,1,661.03,661.03
165,57,6,1,53.85,53.85
166,57,46,3,415.04,1245.1200000000001
167,58,17,1,443.78,443.78
168,58,46,2,415.04,830.08
169,58,35,2,919.5,1839.0
170,58,26,1,596.28,596.28
171,59,7,3,967.14,2901.42
172,59,19,3,32.36,97.08
173,59,37,1,191.21,191.21
174,59,21,1,520.83,520.83
175,60,3,1,704.62,704.62
176,60,36,1,320.05,320.05
177,60,43,2,63.08,126.16
178,60,2,2,548.21,1096.42
179,61,45,1,964.19,964.19
180,61,16,1,525.9,525.9
181,62,42,1,195.23,195.23
182,62,10,1,690.79,690.79
183,62,19,1,32.36,32.36
184,62,2,3,548.21,1644.63
185,63,29,2,195.09,390.18
186,63,36,3,320.05,960.1500000000001
187,63,37,1,191.21,191.21
188,63,27,1,213.73,213.73
189,64,38,2,394.58,789.16
190,64,41,3,559.36,1678.08
191,64,25,3,740.01,2220.0299999999997
192,64,17,3,443.78,1331.34
193,64,24,2,644.07,1288.14
194,65,24,2,644.07,1288.14
195,65,16,2,525.9,1051.8
196,65,35,2,919.5,1839.0
197,65,5,3,661.03,1983.09
198,66,21,3,520.83,1562.4900000000002
199,66,16,3,525.9,1577.6999999999998
200,67,9,1,515.57,515.57
201,67,33,3,354.45,1063.35
202,67,31,3,532.44,1597.3200000000002
203,67,21,1,520.83,520.83
204,67,39,1,389.87,389.87
205,68,46,3,415.04,1245.1200000000001
206,68,42,3,195.23,585.6899999999999
207,68,15,2,354.85,709.7
208,69,37,1,191.21,191.21
209,69,30,3,122.82,368.46
210,69,29,2,195.09,390.18
211,70,28,1,581.57,581.57
212,70,11,1,397.22,397.22
213,70,36,2,320.05,640.1
214,70,36,3,320.05,960.1500000000001
215,70,4,2,641.8,1283.6
216,71,46,1,415.04,415.04
217,71,5,3,661.03,1983.09
218,71,23,1,799.78,799.78
219,71,47,2,493.81,987.62
220,72,17,3,443.78,1331.34
221,72,2,3,548.21,1644.63
222,72,39,2,389.87,779.74
223,72,28,3,581.57,1744.71
224,72,49,1,282.1,282.1
225,73,14,3,124.91,374.73
226,73,29,2,195.09,390.18
227,73,35,3,919.5,2758.5
228,73,44,2,489.76,979.52
229,74,15,3,354.85,1064.5500000000002
230,74,33,2,354.45,708.9
231,74,10,3,690.79,2072.37
232,75,21,1,520.83,520.83
233,75,40,1,696.5,696.5
234,75,46,2,415.04,830.08
235,75,38,1,394.58,394.58
236,75,50,1,782.93,782.93
237,76,5,3,661.03,1983.09
238,76,27,3,213.73,641.1899999999999
