order_id,customer_id,order_date,status,total_amount
1,563,2025-07-04,cancelled,5665.14
2,587,2025-08-22,completed,1595.84
3,794,2025-08-02,cancelled,487.94
4,556,2025-07-21,completed,2072.37
5,560,2025-07-11,completed,525.9
6,105,2025-07-13,cancelled,3431.95
7,770,2025-06-14,completed,5019.05
8,896,2025-07-29,completed,3101.25
9,270,2025-07-10,pending,4454.13
10,450,2025-08-25,completed,2578.2200000000003
11,215,2025-08-06,cancelled,919.5
12,706,2025-06-22,pending,709.7
13,648,2025-06-19,pending,344.67
14,631,2025-08-15,completed,4136.59
15,834,2025-08-10,completed,354.45
16,584,2025-08-29,pending,4245.49
17,288,2025-06-29,cancelled,1898.96
18,173,2025-06-29,pending,5747.03
19,297,2025-07-30,cancelled,489.76
20,976,2025-08-02,cancelled,6789.4
21,835,2025-06-11,completed,2893.1299999999997
22,986,2025-08-19,pending,1499.17
23,284,2025-08-29,cancelled,1746.0100000000002
24,719,2025-08-20,completed,3003.58
25,150,2025-08-05,cancelled,3065.5
26,849,2025-07-26,completed,709.7
27,403,2025-06-11,pending,2077.71
28,592,2025-08-18,cancelled,4499.6
29,643,2025-08-02,pending,361.6
30,463,2025-07-19,completed,5480.56
31,814,2025-06-16,completed,5087.429999999999
32,528,2025-07-16,cancelled,5428.95
33,712,2025-08-01,pending,342.35
34,974,2025-07-09,pending,6630.23
35,596,2025-07-26,completed,1565.86
36,749,2025-08-25,pending,2681.43
37,681,2025-06-16,cancelled,2141.41
38,871,2025-07-22,completed,1853.71
39,408,2025-06-29,completed,5381.4400000000005
40,845,2025-07-13,completed,6311.05
41,275,2025-07-04,pending,191.21
42,346,2025-07-31,cancelled,282.1
43,134,2025-06-24,cancelled,2856.32
44,808,2025-07-05,pending,2399.34
45,781,2025-06-10,completed,3933.9399999999996
46,102,2025-08-31,cancelled,374.73
47,17,2025-07-09,completed,2208.88
48,452,2025-08-16,pending,2088.91
49,982,2025-09-05,pending,2236.38
50,706,2025-08-11,completed,6059.870000000001
51,310,2025-06-14,completed,2942.97
52,96,2025-08-01,cancelled,5975.24
53,257,2025-07-21,completed,4255.530000000001
54,681,2025-07-20,cancelled,5976.83
55,54,2025-08-15,pending,3450.54
56,313,2025-06-17,cancelled,1746.12
57,774,2025-06-08,completed,5436.56
58,672,2025-07-13,completed,3709.1400000000003
59,2,2025-08-24,completed,3710.54
60,80,2025-07-06,completed,2247.25
61,232,2025-06-22,cancelled,1490.0900000000001
